,US-JP_2Y,US-AU_2Y,US-CA_2Y,US-EU_2Y,US-GB_2Y,US-JP_10Y,US-AU_10Y,US-CA_10Y,US-EU_10Y,US-GB_10Y,US-JP_CPI_YOY,US-AU_CPI_YOY,US-CA_CPI_YOY,US-EU_CPI_YOY,US-GB_CPI_YOY,VIX
2011-09-12,0.21,0.21,0.21,0.21,0.21,0.965,-2.2624999999999997,-0.25666666666666993,-2.09796949195519,-0.5640000000000001,3.812621692818685,0.39291924182307536,0.6475238645793135,0.8154048227694499,-0.7227765372697981,38.59
2011-09-13,0.21,0.21,0.21,0.21,0.21,1.025,-2.2024999999999997,-0.19666666666666988,-2.03796949195519,-0.504,3.812621692818685,0.39291924182307536,0.6475238645793135,0.8154048227694499,-0.7227765372697981,36.91
2011-09-14,0.19,0.19,0.19,0.19,0.19,1.0549999999999997,-2.1725,-0.16666666666667007,-2.00796949195519,-0.4740000000000002,3.812621692818685,0.39291924182307536,0.6475238645793135,0.8154048227694499,-0.7227765372697981,34.6
2011-09-15,0.21,0.21,0.21,0.21,0.21,1.1149999999999998,-2.1125,-0.10666666666667002,-1.94796949195519,-0.41400000000000015,3.812621692818685,0.39291924182307536,0.6475238645793135,0.8154048227694499,-0.7227765372697981,31.97
2011-09-16,0.18,0.18,0.18,0.18,0.18,1.105,-2.1224999999999996,-0.1166666666666698,-1.9579694919551898,-0.42399999999999993,3.812621692818685,0.39291924182307536,0.6475238645793135,0.8154048227694499,-0.7227765372697981,30.98
2011-09-19,0.16,0.16,0.16,0.16,0.16,0.995,-2.2325,-0.2266666666666699,-2.06796949195519,-0.534,3.812621692818685,0.39291924182307536,0.6475238645793135,0.8154048227694499,-0.7227765372697981,32.73
2011-09-20,0.18,0.18,0.18,0.18,0.18,0.975,-2.2524999999999995,-0.24666666666666992,-2.0879694919551897,-0.554,3.812621692818685,0.39291924182307536,0.6475238645793135,0.8154048227694499,-0.7227765372697981,32.86
2011-09-21,0.21,0.21,0.21,0.21,0.21,0.9049999999999999,-2.3225,-0.31666666666667,-2.15796949195519,-0.6240000000000001,3.812621692818685,0.39291924182307536,0.6475238645793135,0.8154048227694499,-0.7227765372697981,37.32
2011-09-22,0.2,0.2,0.2,0.2,0.2,0.745,-2.4825,-0.4766666666666699,-2.31796949195519,-0.784,3.812621692818685,0.39291924182307536,0.6475238645793135,0.8154048227694499,-0.7227765372697981,41.35
2011-09-23,0.23,0.23,0.23,0.23,0.23,0.8650000000000001,-2.3625,-0.3566666666666698,-2.19796949195519,-0.6639999999999999,3.812621692818685,0.39291924182307536,0.6475238645793135,0.8154048227694499,-0.7227765372697981,41.25
2011-09-26,0.25,0.25,0.25,0.25,0.25,0.9349999999999999,-2.2924999999999995,-0.28666666666666996,-2.1279694919551897,-0.5940000000000001,3.812621692818685,0.39291924182307536,0.6475238645793135,0.8154048227694499,-0.7227765372697981,39.02
2011-09-27,0.25,0.25,0.25,0.25,0.25,1.025,-2.2024999999999997,-0.19666666666666988,-2.03796949195519,-0.504,3.812621692818685,0.39291924182307536,0.6475238645793135,0.8154048227694499,-0.7227765372697981,37.71
2011-09-28,0.27,0.27,0.27,0.27,0.27,1.0549999999999997,-2.1725,-0.16666666666667007,-2.00796949195519,-0.4740000000000002,3.812621692818685,0.39291924182307536,0.6475238645793135,0.8154048227694499,-0.7227765372697981,41.08
2011-09-29,0.27,0.27,0.27,0.27,0.27,1.0150000000000001,-2.2124999999999995,-0.20666666666666988,-2.0479694919551896,-0.514,3.812621692818685,0.39291924182307536,0.6475238645793135,0.8154048227694499,-0.7227765372697981,38.84
2011-09-30,0.25,0.25,0.25,0.25,0.25,0.945,-2.2824999999999998,-0.27666666666666995,-2.11796949195519,-0.5840000000000001,3.812621692818685,0.39291924182307536,0.6475238645793135,0.8154048227694499,-0.7227765372697981,42.96
2011-10-03,0.24,0.24,0.24,0.24,0.24,0.8250000000000001,-2.4025,-0.39666666666666983,-2.23796949195519,-0.704,3.812621692818685,0.39291924182307536,0.6475238645793135,0.8154048227694499,-0.7227765372697981,45.45
2011-10-04,0.25,0.25,0.25,0.25,0.25,0.8350000000000001,-2.3924999999999996,-0.3866666666666698,-2.22796949195519,-0.694,3.812621692818685,0.39291924182307536,0.6475238645793135,0.8154048227694499,-0.7227765372697981,40.82
2011-10-05,0.25,0.25,0.25,0.25,0.25,0.945,-2.2824999999999998,-0.27666666666666995,-2.11796949195519,-0.5840000000000001,3.812621692818685,0.39291924182307536,0.6475238645793135,0.8154048227694499,-0.7227765372697981,37.81
2011-10-06,0.29,0.29,0.29,0.29,0.29,1.0349999999999997,-2.1925,-0.1866666666666701,-2.02796949195519,-0.4940000000000002,3.812621692818685,0.39291924182307536,0.6475238645793135,0.8154048227694499,-0.7227765372697981,36.27
2011-10-07,0.3,0.3,0.3,0.3,0.3,1.125,-2.1024999999999996,-0.09666666666666979,-1.9379694919551897,-0.4039999999999999,3.812621692818685,0.39291924182307536,0.6475238645793135,0.8154048227694499,-0.7227765372697981,36.2
2011-10-10,0.3,0.3,0.3,0.3,0.3,1.125,-2.1024999999999996,-0.09666666666666979,-1.9379694919551897,-0.4039999999999999,3.812621692818685,0.39291924182307536,0.6475238645793135,0.8154048227694499,-0.7227765372697981,33.02
